date,pump_id,action,component,notes,downtime_hours
2028-06-13,PU-203C,repair,seal,Laser alignment with Fixturlaser XA (within 0.05 mm),1
2028-06-14,PU-209H,inspect,impeller,Impeller vane leading edge blended to remove pitting,1
2028-06-15,PU-211K,calibrate,seal,Seal plan 53A bladder charged to 30 psig,8
2028-06-17,PU-204A,inspect,lubricant,Impeller wear ring clearance checked with taper gauge,2
2028-06-19,PU-208G,inspect,alignment,Impeller balancing weights verified after shop run,12
2028-06-20,PU-212L,clean,seal,Strainer pulled due to high fines load,1
2028-06-22,PU-201A,clean,alignment,Impeller clearance reset per OEM tolerance,4
2028-06-24,PU-211K,replace,alignment,Seal plan 53A bladder charged to 30 psig,1
2028-06-26,PU-206E,inspect,coupling,Strainer differential reset after catalyst fines flush,4
2028-06-29,PU-203C,inspect,seal,Cartridge seal faces dressed and leak-tested,8
2028-06-30,PU-204A,calibrate,lubricant,Impeller wear ring clearance checked with taper gauge,1
2028-07-01,PU-207F,inspect,seal,Motor winding surge test performed post rewind,8
2028-07-03,PU-209H,repair,seal,Seal support pot level corrected to 70%,1
2028-07-04,PU-202B,replace,bearing,Bearing oil topped up with ISO 46 VG,1
2028-07-06,PU-201A,repair,seal,Seal Plan 32 flow verified against refinery spec,0
2028-07-07,PU-212L,clean,seal,Strainer pulled due to high fines load,8
2028-07-08,PU-211K,inspect,seal,Coupling hub fretting cleaned and anti-seize applied,0
2028-07-11,PU-210J,inspect,bearing,Operator completed lube round (ISO 22 synthetic),4
2028-07-13,PU-205D,inspect,bearing,Lubrication checklist signed by Unit 300 operator,8
2028-07-14,PU-204A,calibrate,impeller,Oil mist console differential pressure adjusted,8
2028-07-14,PU-208G,inspect,alignment,Impeller balancing weights verified after shop run,1
2028-07-15,PU-203C,inspect,seal,Coupling elastomer spider swapped due to cracks,2
2028-07-18,PU-212L,calibrate,suction strainer,Strainer pulled due to high fines load,2
2028-07-19,PU-211K,replace,coupling,Bearing pad thermocouples re-zeroed,8
2028-07-20,PU-201A,repair,alignment,Seal Plan 32 flow verified against refinery spec,1
2028-07-21,PU-209H,repair,impeller,Seal support pot level corrected to 70%,12
2028-07-24,PU-207F,replace,seal,Seal flush conductivity matched condensate spec,12
2028-07-25,PU-206E,calibrate,suction strainer,Strainer differential reset after catalyst fines flush,4
2028-07-28,PU-202B,replace,bearing,Suction basket flushed after filter DP alarm,12
2028-07-31,PU-204A,calibrate,lubricant,Oil mist console differential pressure adjusted,0
2028-07-31,PU-211K,repair,coupling,"API 610 route found axial vibration high, filter added",8
2028-08-01,PU-201A,inspect,lubricant,Shaft alignment checked after turbine outage,4
2028-08-03,PU-203C,repair,seal,Laser alignment with Fixturlaser XA (within 0.05 mm),1
2028-08-03,PU-212L,calibrate,seal,Motor current signature analysis (no bar defects),12
2028-08-08,PU-208G,clean,impeller,Impeller balancing weights verified after shop run,8
2028-08-10,PU-205D,repair,seal,Lubrication checklist signed by Unit 300 operator,4
2028-08-10,PU-209H,replace,bearing,Bearing housing vibration dropped below 3 mm/s,1
2028-08-11,PU-207F,replace,motor,Seal flush conductivity matched condensate spec,8
2028-08-12,PU-210J,clean,lubricant,Operator completed lube round (ISO 22 synthetic),8
2028-08-13,PU-201A,clean,lubricant,Shaft alignment checked after turbine outage,12
2028-08-15,PU-202B,calibrate,bearing,"Motor IR scan performed, no hot spots",12
2028-08-15,PU-211K,calibrate,alignment,Seal plan 53A bladder charged to 30 psig,1
2028-08-19,PU-204A,inspect,impeller,Impeller wear ring clearance checked with taper gauge,2
2028-08-20,PU-212L,clean,seal,Seal pot nitrogen header leak repaired,4
2028-08-24,PU-201A,clean,seal,Seal Plan 32 flow verified against refinery spec,8
2028-08-24,PU-203C,repair,seal,Laser alignment with Fixturlaser XA (within 0.05 mm),12
2028-08-24,PU-206E,calibrate,alignment,Strainer differential reset after catalyst fines flush,1
2028-08-24,PU-211K,repair,alignment,Seal plan 53A bladder charged to 30 psig,2
2028-08-27,PU-209H,replace,bearing,Impeller vane leading edge blended to remove pitting,0
2028-08-28,PU-207F,repair,bearing,High-energy vibration at 1x RPM investigated,6
2028-08-31,PU-212L,clean,motor,Motor current signature analysis (no bar defects),4
2028-09-02,PU-204A,clean,motor,Impeller wear ring clearance checked with taper gauge,2
2028-09-04,PU-208G,inspect,impeller,Impeller balancing weights verified after shop run,2
2028-09-05,PU-202B,calibrate,motor,"Motor IR scan performed, no hot spots",1
2028-09-06,PU-211K,calibrate,bearing,Seal plan 53A bladder charged to 30 psig,0
2028-09-08,PU-201A,inspect,seal,Shaft alignment checked after turbine outage,1
2028-09-09,PU-205D,repair,seal,Bearing housing desiccant breather replaced,2
2028-09-14,PU-203C,replace,seal,Coupling elastomer spider swapped due to cracks,0
2028-09-14,PU-209H,repair,impeller,Seal support pot level corrected to 70%,4
2028-09-14,PU-212L,calibrate,seal,Motor current signature analysis (no bar defects),2
2028-09-15,PU-204A,inspect,lubricant,Oil mist console differential pressure adjusted,8
2028-09-15,PU-210J,clean,lubricant,Split bearing shells inspected for wipe marks,1
2028-09-16,PU-207F,replace,motor,High-energy vibration at 1x RPM investigated,2
2028-09-21,PU-211K,repair,seal,Seal plan 53A bladder charged to 30 psig,12
2028-09-22,PU-201A,clean,lubricant,Shaft alignment checked after turbine outage,12
2028-09-23,PU-202B,replace,bearing,Suction basket flushed after filter DP alarm,2
2028-09-24,PU-206E,calibrate,alignment,Spacer coupling bolts retorqued to 95 ft-lbf,0
2028-09-29,PU-204A,calibrate,impeller,Motor insulation DAR ratio recorded 1.6 (acceptable),12
2028-09-29,PU-212L,inspect,seal,Strainer pulled due to high fines load,2
2028-10-01,PU-203C,repair,seal,Coupling elastomer spider swapped due to cracks,6
2028-10-01,PU-208G,inspect,lubricant,Alignment check after suction header supports fixed,0
2028-10-04,PU-209H,repair,seal,Seal support pot level corrected to 70%,1
2028-10-05,PU-207F,replace,bearing,High-energy vibration at 1x RPM investigated,1
2028-10-06,PU-201A,inspect,impeller,Impeller clearance reset per OEM tolerance,0
2028-10-06,PU-211K,inspect,seal,Seal plan 53A bladder charged to 30 psig,0
2028-10-07,PU-205D,repair,bearing,Lubrication checklist signed by Unit 300 operator,0
2028-10-12,PU-204A,calibrate,impeller,Thermography noted 4 degC delta on DE bearing,4
2028-10-13,PU-202B,inspect,motor,Bearing oil topped up with ISO 46 VG,8
2028-10-15,PU-212L,calibrate,seal,Motor current signature analysis (no bar defects),12
2028-10-17,PU-210J,inspect,general,Split bearing shells inspected for wipe marks,8
2028-10-20,PU-201A,clean,lubricant,Lubricant sample sent to Chevron ASTM D4378 panel,4
2028-10-21,PU-203C,replace,bearing,Cartridge seal faces dressed and leak-tested,4
2028-10-21,PU-211K,replace,bearing,Bearing pad thermocouples re-zeroed,8
2028-10-23,PU-206E,clean,coupling,Strainer differential reset after catalyst fines flush,12
2028-10-23,PU-207F,replace,bearing,Seal flush conductivity matched condensate spec,6
2028-10-23,PU-208G,clean,impeller,Impeller balancing weights verified after shop run,8
2028-10-26,PU-209H,replace,bearing,Seal support pot level corrected to 70%,4
2028-10-28,PU-204A,clean,motor,Motor insulation DAR ratio recorded 1.6 (acceptable),2
2028-10-28,PU-212L,clean,suction strainer,Motor current signature analysis (no bar defects),2
2028-11-02,PU-211K,calibrate,seal,Coupling hub fretting cleaned and anti-seize applied,4
2028-11-04,PU-202B,calibrate,suction strainer,Bearing oil topped up with ISO 46 VG,0
2028-11-05,PU-201A,repair,lubricant,Shaft alignment checked after turbine outage,1
2028-11-06,PU-203C,repair,seal,Coupling elastomer spider swapped due to cracks,0
2028-11-07,PU-205D,inspect,bearing,Bearing housing desiccant breather replaced,8
2028-11-09,PU-212L,calibrate,motor,Seal pot nitrogen header leak repaired,4
2028-11-11,PU-207F,inspect,bearing,Motor winding surge test performed post rewind,12
2028-11-11,PU-209H,repair,impeller,Impeller vane leading edge blended to remove pitting,6
2028-11-16,PU-204A,clean,motor,Motor insulation DAR ratio recorded 1.6 (acceptable),4
2028-11-16,PU-208G,calibrate,impeller,Lube oil varnish potential measured (MPC=18),0
2028-11-16,PU-211K,calibrate,seal,Seal plan 53A bladder charged to 30 psig,12
2028-11-17,PU-210J,clean,lubricant,Skid drains cleared of condensate,2
2028-11-18,PU-201A,inspect,seal,Seal Plan 32 flow verified against refinery spec,8
2028-11-21,PU-212L,inspect,motor,Motor current signature analysis (no bar defects),2
2028-11-22,PU-202B,calibrate,bearing,Bearing oil topped up with ISO 46 VG,0
2028-11-22,PU-206E,calibrate,suction strainer,Strainer differential reset after catalyst fines flush,1
2028-11-24,PU-203C,repair,bearing,Coupling elastomer spider swapped due to cracks,8
2028-11-25,PU-211K,calibrate,alignment,Bearing pad thermocouples re-zeroed,6
2028-11-30,PU-207F,replace,bearing,High-energy vibration at 1x RPM investigated,4
2028-11-30,PU-209H,replace,impeller,Seal support pot level corrected to 70%,0
2028-12-01,PU-201A,inspect,seal,Impeller clearance reset per OEM tolerance,6
2028-12-02,PU-204A,inspect,lubricant,Motor insulation DAR ratio recorded 1.6 (acceptable),1
2028-12-05,PU-205D,repair,general,Bearing housing desiccant breather replaced,12
2028-12-05,PU-212L,clean,seal,Motor current signature analysis (no bar defects),12
2028-12-10,PU-202B,replace,motor,Bearing oil topped up with ISO 46 VG,8
2028-12-10,PU-203C,repair,coupling,Laser alignment with Fixturlaser XA (within 0.05 mm),4
2028-12-10,PU-208G,clean,alignment,Lube oil varnish potential measured (MPC=18),6
2028-12-10,PU-211K,repair,seal,Seal plan 53A bladder charged to 30 psig,0
2028-12-16,PU-204A,calibrate,impeller,Motor insulation DAR ratio recorded 1.6 (acceptable),1
2028-12-17,PU-207F,inspect,motor,Seal flush conductivity matched condensate spec,8
2028-12-17,PU-209H,repair,impeller,Bearing housing vibration dropped below 3 mm/s,0
2028-12-17,PU-212L,calibrate,suction strainer,Strainer pulled due to high fines load,2
2028-12-18,PU-201A,repair,impeller,Seal Plan 32 flow verified against refinery spec,6
2028-12-19,PU-211K,replace,seal,Seal plan 53A bladder charged to 30 psig,4
2028-12-20,PU-210J,inspect,general,Split bearing shells inspected for wipe marks,4
2028-12-22,PU-206E,inspect,alignment,Strainer differential reset after catalyst fines flush,6
2028-12-29,PU-201A,inspect,seal,Seal Plan 32 flow verified against refinery spec,8
2028-12-29,PU-203C,replace,bearing,Laser alignment with Fixturlaser XA (within 0.05 mm),0
2028-12-29,PU-204A,calibrate,impeller,Impeller wear ring clearance checked with taper gauge,12
2028-12-29,PU-212L,inspect,seal,Strainer pulled due to high fines load,4
2028-12-31,PU-208G,clean,lubricant,Impeller balancing weights verified after shop run,6
